,frequency
3093,1
17516,1
1316,1
1444,1
7687,1
1556,1
1700,1
1764,1
2036,1
2210,1
656,1
688,1
4771,1
2448,1
401,1
433,1
529,1
561,1
577,1
593,1
673,1
753,1
1441,1
865,1
1057,1
19560,1
1137,1
1201,1
1217,1
1233,1
9445,1
385,1
2400,1
321,1
305,1
1024,1
1216,1
1264,1
1344,1
1376,1
1392,1
1440,1
1456,1
5698,1
10116,1
6066,1
2048,1
21354,1
800,1
2224,1
174260,1
2272,1
1313,1
1585,1
704,1
978,1
15077,1
786,1
818,1
834,1
882,1
914,1
930,1
962,1
1298,1
1665,1
19739,1
1442,1
3523,1
1506,1
44551,1
1746,1
1922,1
8177,1
706,1
2739,1
658,1
610,1
7874,1
5987,1
6051,1
2033,1
2801,1
752,1
736,1
2099,1
2243,1
2339,1
418,1
450,1
466,1
498,1
546,1
562,1
578,1
1061,1
3188,1
778,1
1896,1
1064,1
1288,1
3433,1
1448,1
1528,1
1624,1
3785,1
42828,1
2008,1
952,1
2024,1
304,1
4187,1
345,1
393,1
441,1
4539,1
14798,1
1000,1
4986,1
1205,1
664,1
20658,1
10573,1
1008,1
4458,1
440,1
456,1
488,1
2665,1
712,1
872,1
2777,1
744,1
760,1
776,1
792,1
2857,1
824,1
840,1
473,1
521,1
553,1
410,1
1961,1
234,1
2331,1
298,1
330,1
2395,1
362,1
394,1
426,1
12911,1
458,1
474,1
490,1
570,1
602,1
2683,1
698,1
762,1
1849,1
1801,1
1737,1
1641,1
649,1
681,1
729,1
761,1
809,1
857,1
985,1
1097,1
1161,1
1193,1
7530,1
3464,1
1449,1
1481,1
9709,1
1529,1
1577,1
10397,1
2089,1
4114,1
950,1
2695,1
662,1
694,1
790,1
870,1
17278,1
918,1
23453,1
3079,1
7541,1
9234,1
5140,1
1142,1
1158,1
1174,1
1190,1
1222,1
1238,1
582,1
2599,1
8722,1
470,1
1221,1
1237,1
1269,1
3348,1
1301,1
1381,1
3540,1
3652,1
1701,1
7958,1
1845,1
448,1
358,1
4484,1
390,1
406,1
422,1
1366,1
1446,1
6053,1
1095,1
727,1
4837,1
