,frequency
3870,440
12122,439
3950,438
3982,437
1039,436
959,435
8635,434
2638,433
447,432
479,431
495,430
511,429
527,428
543,427
240,426
591,425
911,424
607,423
8276,422
6195,421
847,420
4973,419
2926,418
879,417
7341,416
1150,415
784,414
1053,413
749,412
797,411
2291,410
2892,409
861,408
1021,407
1037,406
1069,405
701,404
130098,403
1101,402
1213,401
1229,400
1309,399
1325,398
3404,397
733,396
669,395
1725,394
477,393
4287,392
4383,391
2364,390
381,389
2352,388
445,387
2176,386
2540,385
2700,384
8713,383
2572,382
525,381
2588,380
573,379
589,378
621,377
5759,376
3964,375
974,374
558,373
2977,372
382,371
912,370
2495,369
4556,368
864,367
526,366
574,365
1040,364
10843,363
718,362
848,361
4844,360
21236,359
814,358
13112,357
1024,356
5170,355
1917,354
2175,353
10356,352
14374,351
13942,350
1520,349
1440,348
5506,347
1408,346
3425,345
1104,344
1344,343
1312,342
1264,341
1216,340
4316,339
1184,338
5218,337
16570,336
2843,335
251,334
2150,333
2230,332
340,331
2325,330
2326,329
4214,328
2374,327
2149,326
343,325
2406,324
359,323
1859,322
391,321
3890,320
423,319
1827,318
471,317
503,316
2405,315
4518,314
535,313
436,312
1078,311
1094,310
1142,309
1254,308
1430,307
15793,306
5556,305
1494,304
1574,303
1686,302
3879,301
1894,300
3991,299
88060,298
516,297
2549,296
2118,295
519,294
551,293
998,292
1491,291
2169,290
1395,289
1331,288
1267,287
7392,286
2249,285
1075,284
2265,283
979,282
2065,281
963,280
931,279
2329,278
11078,277
312,276
819,275
803,274
3538,273
48628,272
567,271
5633,270
631,269
679,268
855,267
887,266
935,265
983,264
1175,263
1207,262
1239,261
13633,260
1399,259
7604,258
97980,257
3650,256
12334,255
1571,254
10301,253
1030,252
950,251
771,250
773,249
869,248
997,247
1125,246
1189,245
5319,244
1269,243
1333,242
1349,241
3460,240
1477,239
1605,238
9921,237
3844,236
10017,235
1893,234
10209,233
1764,232
25401,231
757,230
1668,229
693,228
2388,227
2292,226
8561,225
373,224
2020,223
437,222
453,221
2516,220
469,219
485,218
501,217
1972,216
565,215
4663,214
2644,213
645,212
677,211
2055,210
1348,209
934,208
2391,207
2423,206
596,205
2439,204
6549,203
2455,202
2535,201
502,200
534,199
550,198
564,197
548,196
532,195
726,194
790,193
2839,192
870,191
2951,190
374,189
53580,188
1300,187
55967,186
2103,185
13522,184
1108,183
1028,182
17372,181
7063,180
2183,179
2917,178
852,177
2885,176
836,175
772,174
2263,173
21246,172
756,171
692,170
310,169
376,168
408,167
258,166
1026,165
898,164
834,163
192708,162
2851,161
2251,160
770,159
738,158
26871,157
49866,156
706,155
12884,154
594,153
410,152
4520,151
426,150
474,149
522,148
946,147
1042,146
602,145
1074,144
1497,143
1625,142
3736,141
1705,140
16046,139
16062,138
1801,137
1833,136
1865,135
3976,134
24482,133
1186,132
17530,131
1138,130
3155,129
1106,128
2123,127
570,126
2651,125
5467,124
5416,123
1354,122
1370,121
7529,120
1578,119
13868,118
1610,117
1674,116
3739,115
1706,114
1882,113
1930,112
1962,111
2595,110
546,109
2563,108
498,107
450,106
1322,105
3355,104
2699,103
1306,102
666,101
714,100
730,99
746,98
778,97
794,96
874,95
13164,94
2939,93
970,92
1034,91
1050,90
1082,89
5272,88
1194,87
1258,86
1290,85
1385,84
1225,83
739,82
1032,81
1128,80
5338,79
3561,78
24131,77
9820,76
3705,75
3737,74
3817,73
3833,72
1896,71
3977,70
47006,69
1960,68
1992,67
595,66
531,65
12805,64
3081,63
2658,62
12725,61
968,60
456,59
472,58
488,57
520,56
536,55
568,54
584,53
696,52
712,51
728,50
792,49
808,48
2873,47
856,46
888,45
920,44
952,43
499,42
435,41
1145,40
505,39
3507,38
4635,37
553,36
6698,35
569,34
1442,33
633,32
665,31
1410,30
793,29
809,28
2936,27
889,26
921,25
5051,24
3032,23
1065,22
2584,21
489,20
403,19
473,18
4251,17
4385,16
4353,15
2280,14
227,13
2274,12
24655,11
8493,10
1986,9
1810,8
3811,7
1746,6
393,5
409,4
425,3
1474,2
4555,1
1983,0
